Country/Territory	DrugGroup
Kenya	ATS
Kenya	ATS
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cocaine-type
Kenya	Cocaine-type
Kenya	Opioids
Kenya	Opioids
Kenya	Opioids
Kenya	Opioids
Kenya	ATS
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cocaine-type
Kenya	Opioids
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cocaine-type
Kenya	Opioids
Kenya	Substances not under international control
Kenya	Substances not under international control
Kenya	Substances not under international control
Kenya	Substances not under international control
Kenya	ATS
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cocaine-type
Kenya	Opioids
Kenya	Sedatives and Tranquillizers
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cannabis-type
Kenya	Cocaine-type
Kenya	Opioids
Kenya	Opioids
Kenya	Precursors
Kenya	Sedatives and Tranquillizers
Madagascar	ATS
Madagascar	Cannabis-type
Madagascar	Cannabis-type
Madagascar	Cannabis-type
Madagascar	Cocaine-type
Madagascar	Opioids
Madagascar	Opioids
Madagascar	Cannabis-type
Madagascar	Cannabis-type
Madagascar	Cannabis-type
Madagascar	Cocaine-type
Madagascar	Opioids
Madagascar	Cannabis-type
Madagascar	Cocaine-type
Madagascar	Opioids
Madagascar	Cannabis-type
Madagascar	Cannabis-type
Madagascar	Cannabis-type
Madagascar	Non-specified
Madagascar	Opioids
Mauritius	ATS
Mauritius	ATS
Mauritius	ATS
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Cocaine-type
Mauritius	Opioids
Mauritius	Opioids
Mauritius	Opioids
Mauritius	Sedatives and Tranquillizers
Mauritius	ATS
Mauritius	ATS
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Cocaine-type
Mauritius	Opioids
Mauritius	Opioids
Mauritius	Opioids
Mauritius	Sedatives and Tranquillizers
Mauritius	Substances not under international control
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Cannabis-type
Mauritius	Opioids
Mauritius	Opioids
Mauritius	Opioids
Mauritius	Sedatives and Tranquillizers
Mauritius	Substances not under international control
United Republic of Tanzania	Cannabis-type
United Republic of Tanzania	Cocaine-type
United Republic of Tanzania	Opioids
United Republic of Tanzania	Substances not under international control
United Republic of Tanzania	Cannabis-type
United Republic of Tanzania	Cocaine-type
United Republic of Tanzania	Opioids
United Republic of Tanzania	Substances not under international control
United Republic of Tanzania	Cocaine-type
United Republic of Tanzania	Opioids
Algeria	Cannabis-type
Algeria	Cannabis-type
Algeria	Cannabis-type
Algeria	Cannabis-type
Algeria	Cocaine-type
Algeria	Non-specified
Algeria	Non-specified
Algeria	Non-specified
Algeria	Opioids
Algeria	Opioids
Algeria	Opioids
